day,PrecioTotal
2010-12-01,46376.49000000003
2010-12-02,47316.52999999987
2010-12-03,23921.710000000097
2010-12-05,31771.600000000166
2010-12-06,31215.64000000016
2010-12-07,53795.31000000011
2010-12-08,39248.820000000094
2010-12-09,38231.90000000002
2010-12-10,33650.28000000004
2010-12-12,17305.770000000048
2010-12-13,27642.68000000007
2010-12-14,29322.300000000152
2010-12-15,30311.72000000012
2010-12-16,49030.07999999994
2010-12-17,20046.56000000005
2010-12-19,7417.38999999999
2010-12-20,19621.96000000006
2010-12-21,15951.660000000003
2010-12-22,4886.519999999998
2010-12-23,5648.969999999993
2011-01-04,12125.459999999992
2011-01-05,28803.630000000125
2011-01-06,34360.19000000014
2011-01-07,23797.790000000055
2011-01-09,15778.200000000024
2011-01-10,15346.829999999993
2011-01-11,60268.78000000006
2011-01-12,17153.94000000001
2011-01-13,15171.310000000029
2011-01-14,39532.020000000026
2011-01-16,7242.0599999999795
2011-01-17,16597.350000000024
2011-01-18,87589.10999999997
2011-01-19,21646.78000000005
2011-01-20,15244.73000000001
2011-01-21,24279.76
2011-01-23,10400.249999999967
2011-01-24,17632.370000000024
2011-01-25,24119.300000000083
2011-01-26,17490.820000000043
2011-01-27,22157.030000000123
2011-01-28,17273.500000000007
2011-01-30,6615.749999999991
2011-01-31,18818.08000000005
2011-02-01,26376.500000000036
2011-02-02,17145.230000000058
2011-02-03,22184.000000000076
2011-02-04,18114.310000000012
2011-02-06,3457.1099999999965
2011-02-07,23415.010000000017
2011-02-08,14168.030000000024
2011-02-09,11920.780000000019
2011-02-10,14198.510000000017
2011-02-11,18599.45999999998
2011-02-13,5713.629999999991
2011-02-14,23003.990000000085
2011-02-15,37784.650000000096
2011-02-16,23499.22000000004
2011-02-17,17674.79000000004
2011-02-18,14463.060000000016
2011-02-20,9624.69000000003
2011-02-21,32801.730000000076
2011-02-22,29160.48000000005
2011-02-23,19348.07000000005
2011-02-24,21472.890000000065
2011-02-25,18377.69000000002
2011-02-27,9526.499999999982
2011-02-28,15107.020000000042
2011-03-01,23631.870000000028
2011-03-02,18686.990000000016
2011-03-03,32855.050000000076
2011-03-04,17322.470000000023
2011-03-06,9997.419999999982
2011-03-07,20285.680000000062
2011-03-08,22230.610000000066
2011-03-09,20345.870000000043
2011-03-10,24431.720000000078
2011-03-11,20896.000000000047
2011-03-13,4148.119999999994
2011-03-14,26009.250000000065
2011-03-15,14936.43000000001
2011-03-16,21820.66000000004
2011-03-17,32028.9400000001
2011-03-18,23398.74000000005
2011-03-20,20084.80000000008
2011-03-21,16051.050000000023
2011-03-22,19064.290000000034
2011-03-23,21578.800000000043
2011-03-24,36697.1400000001
2011-03-25,27302.75
2011-03-27,9224.399999999996
2011-03-28,20005.159999999993
2011-03-29,37190.51999999993
2011-03-30,29587.420000000075
2011-03-31,25688.610000000106
2011-04-01,24586.820000000058
2011-04-03,6918.499999999998
2011-04-04,29017.770000000062
2011-04-05,28759.370000000064
2011-04-06,12722.32000000002
2011-04-07,16827.770000000073
2011-04-08,22720.710000000032
2011-04-10,9913.979999999976
2011-04-11,20184.140000000036
2011-04-12,24023.960000000105
2011-04-13,24484.42000000002
2011-04-14,35702.700000000084
2011-04-15,18021.48100000002
2011-04-17,12725.499999999993
2011-04-18,43713.56000000003
2011-04-19,18853.04000000006
2011-04-20,25718.950000000015
2011-04-21,27804.47000000003
2011-04-26,21584.41000000004
2011-04-27,23593.19999999998
2011-04-28,21323.29000000005
2011-05-01,6973.659999999997
2011-05-03,28910.410000000073
2011-05-04,27532.000000000106
2011-05-05,25232.670000000067
2011-05-06,30786.70000000008
2011-05-08,18867.400000000045
2011-05-09,21624.41000000002
2011-05-10,29870.700000000106
2011-05-11,31887.700000000128
2011-05-12,59901.559999999896
2011-05-13,25885.830000000013
2011-05-15,9680.05
2011-05-16,35706.69999999999
2011-05-17,46406.09000000005
2011-05-18,32882.87000000009
2011-05-19,31553.510000000002
2011-05-20,25489.660000000036
2011-05-22,24231.090000000066
2011-05-23,31307.490000000034
2011-05-24,32462.480000000094
2011-05-25,21884.93
2011-05-26,32764.38000000001
2011-05-27,21163.32000000006
2011-05-29,7394.299999999987
2011-05-31,18194.650000000012
2011-06-01,15390.890000000014
2011-06-02,28104.560000000074
2011-06-03,15042.260000000013
2011-06-05,25639.540000000114
2011-06-06,16290.980000000038
2011-06-07,33908.260000000104
2011-06-08,30192.13000000009
2011-06-09,42910.38000000012
2011-06-10,58245.12000000001
2011-06-12,12472.20999999999
2011-06-13,19719.11000000003
2011-06-14,33334.47000000013
2011-06-15,45077.53999999996
2011-06-16,32307.77000000002
